yourlist:M20211026F248CABF64506F29A91F8037F07B67D12525920	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1825	Q14574	DSC3_HUMAN	reviewed	Desmocollin-3 (Cadherin family member 3) (Desmocollin-4) (HT-CP)	DSC3 CDHF3 DSC4	Homo sapiens (Human)	896
1826	O60469	DSCAM_HUMAN	reviewed	Down syndrome cell adhesion molecule (CHD2)	DSCAM	Homo sapiens (Human)	2012
1827	P53805	RCAN1_HUMAN	reviewed	Calcipressin-1 (Adapt78) (Down syndrome critical region protein 1) (Myocyte-enriched calcineurin-interacting protein 1) (MCIP1) (Regulator of calcineurin 1)	RCAN1 ADAPT78 CSP1 DSC1 DSCR1	Homo sapiens (Human)	252
1829	Q14126	DSG2_HUMAN	reviewed	Desmoglein-2 (Cadherin family member 5) (HDGC)	DSG2 CDHF5	Homo sapiens (Human)	1118
183	P01019	ANGT_HUMAN	reviewed	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	AGT SERPINA8	Homo sapiens (Human)	485
1834	Q9NZW4	DSPP_HUMAN	reviewed	Dentin sialophosphoprotein [Cleaved into: Dentin phosphoprotein (Dentin phosphophoryn) (DPP); Dentin sialoprotein (DSP)]	DSPP	Homo sapiens (Human)	1301
1859	Q13627	DYR1A_HUMAN	reviewed	Dual specificity tyrosine-phosphorylation-regulated kinase 1A (EC 2.7.12.1) (Dual specificity YAK1-related kinase) (HP86) (Protein kinase minibrain homolog) (MNBH) (hMNB)	DYRK1A DYRK MNB MNBH	Homo sapiens (Human)	763
186	P50052	AGTR2_HUMAN	reviewed	Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2)	AGTR2	Homo sapiens (Human)	363
1879	Q9UH73	COE1_HUMAN	reviewed	Transcription factor COE1 (O/E-1) (OE-1) (Early B-cell factor)	EBF1 COE1 EBF	Homo sapiens (Human)	591
189	P21549	SPYA_HUMAN	reviewed	Serine--pyruvate aminotransferase (SPT) (EC 2.6.1.51) (Alanine--glyoxylate aminotransferase) (AGT) (EC 2.6.1.44)	AGXT AGT1 SPAT	Homo sapiens (Human)	392
1890	P19971	TYPH_HUMAN	reviewed	Thymidine phosphorylase (TP) (EC 2.4.2.4) (Gliostatin) (Platelet-derived endothelial cell growth factor) (PD-ECGF) (TdRPase)	TYMP ECGF1	Homo sapiens (Human)	482
1896	Q92838	EDA_HUMAN	reviewed	Ectodysplasin-A (Ectodermal dysplasia protein) (EDA protein) [Cleaved into: Ectodysplasin-A, membrane form; Ectodysplasin-A, secreted form]	EDA ED1 EDA2	Homo sapiens (Human)	391
190	P51843	NR0B1_HUMAN	reviewed	Nuclear receptor subfamily 0 group B member 1 (DSS-AHC critical region on the X chromosome protein 1) (Nuclear receptor DAX-1)	NR0B1 AHC DAX1	Homo sapiens (Human)	470
191	P23526	SAHH_HUMAN	reviewed	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)	AHCY SAHH	Homo sapiens (Human)	432
1910	P24530	EDNRB_HUMAN	reviewed	Endothelin receptor type B (ET-B) (ET-BR) (Endothelin receptor non-selective type)	EDNRB ETRB	Homo sapiens (Human)	442
1911	P78364	PHC1_HUMAN	reviewed	Polyhomeotic-like protein 1 (hPH1) (Early development regulatory protein 1)	PHC1 EDR1 PH1	Homo sapiens (Human)	1004
192666	Q2M2I5	K1C24_HUMAN	reviewed	Keratin, type I cytoskeletal 24 (Cytokeratin-24) (CK-24) (Keratin-24) (K24) (Type I keratin-24)	KRT24 KA24	Homo sapiens (Human)	525
1947	P98172	EFNB1_HUMAN	reviewed	Ephrin-B1 (EFL-3) (ELK ligand) (ELK-L) (EPH-related receptor tyrosine kinase ligand 2) (LERK-2) [Cleaved into: Ephrin-B1 C-terminal fragment (Ephrin-B1 CTF); Ephrin-B1 intracellular domain (Ephrin-B1 ICD)]	EFNB1 EFL3 EPLG2 LERK2	Homo sapiens (Human)	346
1956	P00533	EGFR_HUMAN	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	1210
1959	P11161	EGR2_HUMAN	reviewed	E3 SUMO-protein ligase EGR2 (EC 2.3.2.-) (AT591) (E3 SUMO-protein transferase ERG2) (Early growth response protein 2) (EGR-2) (Zinc finger protein Krox-20)	EGR2 KROX20	Homo sapiens (Human)	476
196528	Q68CP9	ARID2_HUMAN	reviewed	AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200)	ARID2 BAF200 KIAA1557	Homo sapiens (Human)	1835
1967	Q14232	EI2BA_HUMAN	reviewed	Translation initiation factor eIF-2B subunit alpha (eIF-2B GDP-GTP exchange factor subunit alpha)	EIF2B1 EIF2BA	Homo sapiens (Human)	305
197131	Q8IWV7	UBR1_HUMAN	reviewed	E3 ubiquitin-protein ligase UBR1 (EC 2.3.2.27) (N-recognin-1) (RING-type E3 ubiquitin transferase UBR1) (Ubiquitin-protein ligase E3-alpha-1) (Ubiquitin-protein ligase E3-alpha-I)	UBR1	Homo sapiens (Human)	1749
197322	Q4G176	ACSF3_HUMAN	reviewed	Malonate--CoA ligase ACSF3, mitochondrial (EC 6.2.1.n3) (Acyl-CoA synthetase family member 3)	ACSF3 PSEC0197	Homo sapiens (Human)	576
1974	Q14240	IF4A2_HUMAN	reviewed	Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2)	EIF4A2 DDX2B EIF4F	Homo sapiens (Human)	407
1993	Q12926	ELAV2_HUMAN	reviewed	ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B) (HuB) (Nervous system-specific RNA-binding protein Hel-N1)	ELAVL2 HUB	Homo sapiens (Human)	359
2000	Q99607	ELF4_HUMAN	reviewed	ETS-related transcription factor Elf-4 (E74-like factor 4) (Myeloid Elf-1-like factor)	ELF4 ELFR MEF	Homo sapiens (Human)	663
2002	P19419	ELK1_HUMAN	reviewed	ETS domain-containing protein Elk-1	ELK1	Homo sapiens (Human)	428
2005	P28324	ELK4_HUMAN	reviewed	ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1)	ELK4 SAP1	Homo sapiens (Human)	431
2006	P15502	ELN_HUMAN	reviewed	Elastin (Tropoelastin)	ELN	Homo sapiens (Human)	786
201163	Q8NFG4	FLCN_HUMAN	reviewed	Folliculin (BHD skin lesion fibrofolliculoma protein) (Birt-Hogg-Dube syndrome protein)	FLCN BHD	Homo sapiens (Human)	579
2020	P19622	HME2_HUMAN	reviewed	Homeobox protein engrailed-2 (Homeobox protein en-2) (Hu-En-2)	EN2	Homo sapiens (Human)	333
2022	P17813	EGLN_HUMAN	reviewed	Endoglin (CD antigen CD105)	ENG END	Homo sapiens (Human)	658
2027	P13929	ENOB_HUMAN	reviewed	Beta-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 3) (Muscle-specific enolase) (MSE) (Skeletal muscle enolase)	ENO3	Homo sapiens (Human)	434
203286	Q68DC2	ANKS6_HUMAN	reviewed	Ankyrin repeat and SAM domain-containing protein 6 (Ankyrin repeat domain-containing protein 14) (SamCystin) (Sterile alpha motif domain-containing protein 6) (SAM domain-containing protein 6)	ANKS6 ANKRD14 PKDR1 SAMD6	Homo sapiens (Human)	871
2033	Q09472	EP300_HUMAN	reviewed	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	EP300 P300	Homo sapiens (Human)	2414
2034	Q99814	EPAS1_HUMAN	reviewed	Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2)	EPAS1 BHLHE73 HIF2A MOP2 PASD2	Homo sapiens (Human)	870
2038	P16452	EPB42_HUMAN	reviewed	Protein 4.2 (P4.2) (Erythrocyte membrane protein band 4.2) (Erythrocyte protein 4.2)	EPB42 E42P	Homo sapiens (Human)	691
204219	Q8IU89	CERS3_HUMAN	reviewed	Ceramide synthase 3 (CerS3) (EC 2.3.1.-) (Dihydroceramide synthase 3) (LAG1 longevity assurance homolog 3) (Sphingosine N-acyltransferase CERS3) (EC 2.3.1.24)	CERS3 LASS3	Homo sapiens (Human)	383
2055	Q9UBY8	CLN8_HUMAN	reviewed	Protein CLN8	CLN8 C8orf61	Homo sapiens (Human)	286
2059	Q12929	EPS8_HUMAN	reviewed	Epidermal growth factor receptor kinase substrate 8	EPS8	Homo sapiens (Human)	822
2060	P42566	EPS15_HUMAN	reviewed	Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p)	EPS15 AF1P	Homo sapiens (Human)	896
2064	P04626	ERBB2_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens (Human)	1255
2065	P21860	ERBB3_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	ERBB3 HER3	Homo sapiens (Human)	1342
2066	Q15303	ERBB4_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]	ERBB4 HER4	Homo sapiens (Human)	1308
2067	P07992	ERCC1_HUMAN	reviewed	DNA excision repair protein ERCC-1	ERCC1	Homo sapiens (Human)	297
2068	P18074	ERCC2_HUMAN	reviewed	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 3.6.4.12) (Basic transcription factor 2 80 kDa subunit) (BTF2 p80) (CXPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (TFIIH basal transcription factor complex 80 kDa subunit) (TFIIH 80 kDa subunit) (TFIIH p80) (Xeroderma pigmentosum group D-complementing protein)	ERCC2 XPD XPDC	Homo sapiens (Human)	760
207	P31749	AKT1_HUMAN	reviewed	RAC-alpha serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase B) (PKB) (Protein kinase B alpha) (PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)	AKT1 PKB RAC	Homo sapiens (Human)	480
2070	O95677	EYA4_HUMAN	reviewed	Eyes absent homolog 4 (EC 3.1.3.48)	EYA4	Homo sapiens (Human)	639
2071	P19447	ERCC3_HUMAN	reviewed	General transcription and DNA repair factor IIH helicase subunit XPB (TFIIH subunit XPB) (EC 3.6.4.12) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH basal transcription factor complex 89 kDa subunit) (TFIIH 89 kDa subunit) (TFIIH p89) (Xeroderma pigmentosum group B-complementing protein)	ERCC3 XPB XPBC	Homo sapiens (Human)	782
2072	Q92889	XPF_HUMAN	reviewed	DNA repair endonuclease XPF (EC 3.1.-.-) (DNA excision repair protein ERCC-4) (DNA repair protein complementing XP-F cells) (Xeroderma pigmentosum group F-complementing protein)	ERCC4 ERCC11 XPF	Homo sapiens (Human)	916
2073	P28715	ERCC5_HUMAN	reviewed	DNA excision repair protein ERCC-5 (EC 3.1.-.-) (DNA repair protein complementing XP-G cells) (Xeroderma pigmentosum group G-complementing protein)	ERCC5 ERCM2 XPG XPGC	Homo sapiens (Human)	1186
2077	P50548	ERF_HUMAN	reviewed	ETS domain-containing transcription factor ERF (Ets2 repressor factor) (PE-2)	ERF	Homo sapiens (Human)	548
2078	P11308	ERG_HUMAN	reviewed	Transcriptional regulator ERG (Transforming protein ERG)	ERG	Homo sapiens (Human)	479
208	P31751	AKT2_HUMAN	reviewed	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	AKT2	Homo sapiens (Human)	481
2099	P03372	ESR1_HUMAN	reviewed	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595
210	P13716	HEM2_HUMAN	reviewed	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	ALAD	Homo sapiens (Human)	330
2109	P38117	ETFB_HUMAN	reviewed	Electron transfer flavoprotein subunit beta (Beta-ETF)	ETFB FP585	Homo sapiens (Human)	255
2110	Q16134	ETFD_HUMAN	reviewed	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)	ETFDH	Homo sapiens (Human)	617
2115	P50549	ETV1_HUMAN	reviewed	ETS translocation variant 1 (Ets-related protein 81)	ETV1 ER81	Homo sapiens (Human)	477
2118	P43268	ETV4_HUMAN	reviewed	ETS translocation variant 4 (Adenovirus E1A enhancer-binding protein) (E1A-F) (Polyomavirus enhancer activator 3 homolog) (Protein PEA3)	ETV4 E1AF PEA3	Homo sapiens (Human)	484
2119	P41161	ETV5_HUMAN	reviewed	ETS translocation variant 5 (Ets-related protein ERM)	ETV5 ERM	Homo sapiens (Human)	510
2120	P41212	ETV6_HUMAN	reviewed	Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel)	ETV6 TEL TEL1	Homo sapiens (Human)	452
2122	Q03112	MECOM_HUMAN	reviewed	Histone-lysine N-methyltransferase MECOM (EC 2.1.1.367) (Ecotropic virus integration site 1 protein homolog) (EVI-1) (MDS1 and EVI1 complex locus protein) (Myelodysplasia syndrome 1 protein) (Myelodysplasia syndrome-associated protein 1)	MECOM EVI1 MDS1 PRDM3	Homo sapiens (Human)	1230
2130	Q01844	EWS_HUMAN	reviewed	RNA-binding protein EWS (EWS oncogene) (Ewing sarcoma breakpoint region 1 protein)	EWSR1 EWS	Homo sapiens (Human)	656
2131	Q16394	EXT1_HUMAN	reviewed	Exostosin-1 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 1) (Putative tumor suppressor protein EXT1)	EXT1	Homo sapiens (Human)	746
2132	Q93063	EXT2_HUMAN	reviewed	Exostosin-2 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 2) (Putative tumor suppressor protein EXT2)	EXT2	Homo sapiens (Human)	718
2138	Q99502	EYA1_HUMAN	reviewed	Eyes absent homolog 1 (EC 3.1.3.16) (EC 3.1.3.48)	EYA1	Homo sapiens (Human)	592
2146	Q15910	EZH2_HUMAN	reviewed	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (ENX-1) (Enhancer of zeste homolog 2) (Lysine N-methyltransferase 6)	EZH2 KMT6	Homo sapiens (Human)	746
215	P33897	ABCD1_HUMAN	reviewed	ATP-binding cassette sub-family D member 1 (EC 7.6.2.4) (Adrenoleukodystrophy protein) (ALDP)	ABCD1 ALD	Homo sapiens (Human)	745
2153	P12259	FA5_HUMAN	reviewed	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	F5	Homo sapiens (Human)	2224
2155	P08709	FA7_HUMAN	reviewed	Coagulation factor VII (EC 3.4.21.21) (Proconvertin) (Serum prothrombin conversion accelerator) (SPCA) (Eptacog alfa) [Cleaved into: Factor VII light chain; Factor VII heavy chain]	F7	Homo sapiens (Human)	466
2157	P00451	FA8_HUMAN	reviewed	Coagulation factor VIII (Antihemophilic factor) (AHF) (Procoagulant component) [Cleaved into: Factor VIIIa heavy chain, 200 kDa isoform; Factor VIIIa heavy chain, 92 kDa isoform; Factor VIII B chain; Factor VIIIa light chain]	F8 F8C	Homo sapiens (Human)	2351
2158	P00740	FA9_HUMAN	reviewed	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	F9	Homo sapiens (Human)	461
2159	P00742	FA10_HUMAN	reviewed	Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	F10	Homo sapiens (Human)	488
2162	P00488	F13A_HUMAN	reviewed	Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain)	F13A1 F13A	Homo sapiens (Human)	732
2165	P05160	F13B_HUMAN	reviewed	Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain)	F13B	Homo sapiens (Human)	661
2175	O15360	FANCA_HUMAN	reviewed	Fanconi anemia group A protein (Protein FACA)	FANCA FAA FACA FANCH	Homo sapiens (Human)	1455
2176	Q00597	FANCC_HUMAN	reviewed	Fanconi anemia group C protein (Protein FACC)	FANCC FAC FACC	Homo sapiens (Human)	558
2177	Q9BXW9	FACD2_HUMAN	reviewed	Fanconi anemia group D2 protein (Protein FACD2)	FANCD2 FACD	Homo sapiens (Human)	1451
2178	Q9HB96	FANCE_HUMAN	reviewed	Fanconi anemia group E protein (Protein FACE)	FANCE FACE	Homo sapiens (Human)	536
2181	O95573	ACSL3_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3)	ACSL3 ACS3 FACL3 LACS3	Homo sapiens (Human)	720
2182	O60488	ACSL4_HUMAN	reviewed	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4)	ACSL4 ACS4 FACL4 LACS4	Homo sapiens (Human)	711
2184	P16930	FAAA_HUMAN	reviewed	Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase)	FAH	Homo sapiens (Human)	419
2187	Q8NB91	FANCB_HUMAN	reviewed	Fanconi anemia group B protein (Protein FACB) (Fanconi anemia-associated polypeptide of 95 kDa) (FAAP95)	FANCB	Homo sapiens (Human)	859
2188	Q9NPI8	FANCF_HUMAN	reviewed	Fanconi anemia group F protein (Protein FACF)	FANCF	Homo sapiens (Human)	374
2189	O15287	FANCG_HUMAN	reviewed	Fanconi anemia group G protein (Protein FACG) (DNA repair protein XRCC9)	FANCG XRCC9	Homo sapiens (Human)	622
2195	Q14517	FAT1_HUMAN	reviewed	Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]	FAT1 CDHF7 FAT	Homo sapiens (Human)	4588
219844	Q96M11	HYLS1_HUMAN	reviewed	Hydrolethalus syndrome protein 1	HYLS1 HLS	Homo sapiens (Human)	299
220	P47895	AL1A3_HUMAN	reviewed	Aldehyde dehydrogenase family 1 member A3 (EC 1.2.1.36) (Aldehyde dehydrogenase 6) (Retinaldehyde dehydrogenase 3) (RALDH-3) (RalDH3)	ALDH1A3 ALDH6	Homo sapiens (Human)	512
2200	P35555	FBN1_HUMAN	reviewed	Fibrillin-1 [Cleaved into: Asprosin]	FBN1 FBN	Homo sapiens (Human)	2871
220082	Q8NA61	CBY2_HUMAN	reviewed	Protein chibby homolog 2 (Spermatid-associated protein)	CBY2 SPERT	Homo sapiens (Human)	448
220136	Q96M91	CFA53_HUMAN	reviewed	Cilia- and flagella-associated protein 53 (Coiled-coil domain-containing protein 11)	CFAP53 CCDC11	Homo sapiens (Human)	514
2203	P09467	F16P1_HUMAN	reviewed	Fructose-1,6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1) (Liver FBPase)	FBP1 FBP	Homo sapiens (Human)	338
2213	P31994	FCG2B_HUMAN	reviewed	Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32)	FCGR2B CD32 FCG2 IGFR2	Homo sapiens (Human)	310
221927	Q6PJG6	BRAT1_HUMAN	reviewed	BRCA1-associated ATM activator 1 (BRCA1-associated protein required for ATM activation protein 1)	BRAT1 BAAT1 C7orf27	Homo sapiens (Human)	821
222546	Q8HWS3	RFX6_HUMAN	reviewed	DNA-binding protein RFX6 (Regulatory factor X 6) (Regulatory factor X domain-containing protein 1)	RFX6 RFXDC1	Homo sapiens (Human)	928
224	P51648	AL3A2_HUMAN	reviewed	Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Aldehyde dehydrogenase 10) (Fatty aldehyde dehydrogenase) (Microsomal aldehyde dehydrogenase)	ALDH3A2 ALDH10 FALDH	Homo sapiens (Human)	485
2242	P07332	FES_HUMAN	reviewed	Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)	FES FPS	Homo sapiens (Human)	822
2245	P98174	FGD1_HUMAN	reviewed	FYVE, RhoGEF and PH domain-containing protein 1 (Faciogenital dysplasia 1 protein) (Rho/Rac guanine nucleotide exchange factor FGD1) (Rho/Rac GEF) (Zinc finger FYVE domain-containing protein 3)	FGD1 FGDY ZFYVE3	Homo sapiens (Human)	961
2248	P11487	FGF3_HUMAN	reviewed	Fibroblast growth factor 3 (FGF-3) (Heparin-binding growth factor 3) (HBGF-3) (Proto-oncogene Int-2)	FGF3 INT2	Homo sapiens (Human)	239
2255	O15520	FGF10_HUMAN	reviewed	Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2)	FGF10	Homo sapiens (Human)	208
226	P04075	ALDOA_HUMAN	reviewed	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)	364
2260	P11362	FGFR1_HUMAN	reviewed	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR	Homo sapiens (Human)	822
2261	P22607	FGFR3_HUMAN	reviewed	Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (CD antigen CD333)	FGFR3 JTK4	Homo sapiens (Human)	806
2262	P78333	GPC5_HUMAN	reviewed	Glypican-5 [Cleaved into: Secreted glypican-5]	GPC5	Homo sapiens (Human)	572
2263	P21802	FGFR2_HUMAN	reviewed	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	FGFR2 BEK KGFR KSAM	Homo sapiens (Human)	821
2264	P22455	FGFR4_HUMAN	reviewed	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	FGFR4 JTK2 TKF	Homo sapiens (Human)	802
2271	P07954	FUMH_HUMAN	reviewed	Fumarate hydratase, mitochondrial (Fumarase) (HsFH) (EC 4.2.1.2)	FH	Homo sapiens (Human)	510
2272	P49789	FHIT_HUMAN	reviewed	Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Fragile histidine triad protein)	FHIT	Homo sapiens (Human)	147
22852	Q9UPS8	ANR26_HUMAN	reviewed	Ankyrin repeat domain-containing protein 26	ANKRD26 KIAA1074	Homo sapiens (Human)	1710
22856	Q86X52	CHSS1_HUMAN	reviewed	Chondroitin sulfate synthase 1 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 1) (Chondroitin synthase 1) (ChSy-1) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase 1) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase 1) (N-acetylgalactosaminyltransferase 1)	CHSY1 CHSY CSS1 KIAA0990 UNQ756/PRO1487	Homo sapiens (Human)	802
22866	Q8WXI2	CNKR2_HUMAN	reviewed	Connector enhancer of kinase suppressor of ras 2 (Connector enhancer of KSR 2) (CNK homolog protein 2) (CNK2)	CNKSR2 CNK2 KIAA0902 KSR2	Homo sapiens (Human)	1034
22871	Q8N2Q7	NLGN1_HUMAN	reviewed	Neuroligin-1	NLGN1 KIAA1070	Homo sapiens (Human)	863
22895	Q9Y2J0	RP3A_HUMAN	reviewed	Rabphilin-3A (Exophilin-1)	RPH3A KIAA0985	Homo sapiens (Human)	694
22897	Q9UPV0	CE164_HUMAN	reviewed	Centrosomal protein of 164 kDa (Cep164)	CEP164 KIAA1052 NPHP15	Homo sapiens (Human)	1460
2290	P55316	FOXG1_HUMAN	reviewed	Forkhead box protein G1 (Brain factor 1) (BF-1) (BF1) (Brain factor 2) (BF-2) (BF2) (hBF-2) (Forkhead box protein G1A) (Forkhead box protein G1B) (Forkhead box protein G1C) (Forkhead-related protein FKHL1) (HFK1) (Forkhead-related protein FKHL2) (HFK2) (Forkhead-related protein FKHL3) (HFK3)	FOXG1 FKH2 FKHL1 FKHL2 FKHL3 FKHL4 FOXG1A FOXG1B FOXG1C	Homo sapiens (Human)	489
22909	Q9Y2M0	FAN1_HUMAN	reviewed	Fanconi-associated nuclease 1 (EC 3.1.21.-) (EC 3.1.4.1) (FANCD2/FANCI-associated nuclease 1) (hFAN1) (Myotubularin-related protein 15)	FAN1 KIAA1018 MTMR15	Homo sapiens (Human)	1017
