yourlist:M202111026320BA52A5CE8FCD097CB85A53697A35277F3CK	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
YDR449C	Q02354	UTP6_YEAST	reviewed	U3 small nucleolar RNA-associated protein 6 (U3 snoRNA-associated protein 6) (U three protein 6)	UTP6 YDR449C D9461.34	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	440
YDR450W	P0CX55	RS18A_YEAST	reviewed	40S ribosomal protein S18-A (Small ribosomal subunit protein uS13-A)	RPS18A YDR450W D9461.35	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146
YDR450W	P0CX56	RS18B_YEAST	reviewed	40S ribosomal protein S18-B (Small ribosomal subunit protein uS13-B)	RPS18B YML026C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146
YDR451C	Q04116	YHP1_YEAST	reviewed	Homeobox protein YHP1	YHP1 YDR451C D9461.36	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	353
YDR456W	Q04121	NHX1_YEAST	reviewed	Endosomal/prevacuolar sodium/hydrogen exchanger (Endosomal/prevacuolar Na(+)/H(+) exchanger) (Vacuolar protein sorting-associated protein 44)	NHX1 NHA2 VPL27 VPS44 YDR456W D9461.40	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	633
YDR458C	Q03281	HEH2_YEAST	reviewed	Inner nuclear membrane protein HEH2 (Helix-extension-helix domain-containing protein 2)	HEH2 YDR458C D8035.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	663
YDR468C	Q03322	TLG1_YEAST	reviewed	t-SNARE affecting a late Golgi compartment protein 1 (Syntaxin TLG1)	TLG1 YDR468C D8035.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	224
YDR470C	Q03327	UGO1_YEAST	reviewed	Mitochondrial fusion and transport protein UGO1	UGO1 YDR470C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	502
YDR471W	P0C2H7	RL27B_YEAST	reviewed	60S ribosomal protein L27-B (Large ribosomal subunit protein eL27-B)	RPL27B RPL27 YDR471W D8035.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	136
YDR497C	P30605	ITR1_YEAST	reviewed	Myo-inositol transporter 1	ITR1 YDR497C D9719.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	584
YDR500C	P51402	RL37B_YEAST	reviewed	60S ribosomal protein L37-B (L43) (Large ribosomal subunit protein eL37-B) (YL35) (YP55)	RPL37B RPL35B YDR500C D9719.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	88
YDR505C	P50896	PSP1_YEAST	reviewed	Protein PSP1 (Growth inhibitory protein 5) (Polymerase suppressor protein 1)	PSP1 GIN5 YDR505C D9719.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	841
YDR510W	Q12306	SMT3_YEAST	reviewed	Ubiquitin-like protein SMT3	SMT3 YDR510W D9719.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101
YDR515W	Q12034	SLF1_YEAST	reviewed	Protein SLF1	SLF1 YDR515W D9719.20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	447
YEL005C	P40003	VAB2_YEAST	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit VAB2 (BLOC-1 subunit VAB2) (VAC8-binding protein 2)	VAB2 VAB31 YEL005C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	282
YEL009C	P03069	GCN4_YEAST	reviewed	General control transcription factor GCN4 (Amino acid biosynthesis regulatory protein) (General control protein GCN4)	GCN4 AAS101 AAS3 ARG9 YEL009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	281
YEL016C	P39997	NPP2_YEAST	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (E-NPP 2) [Includes: Alkaline phosphodiesterase 1 (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	NPP2 YEL016C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	493
YEL022W	P39993	GEA2_YEAST	reviewed	ARF guanine-nucleotide exchange factor 2	GEA2 YEL022W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1459
YEL027W	P25515	VATL1_YEAST	reviewed	V-type proton ATPase subunit c (V-ATPase subunit c) (Guanine nucleotide exchange factor 2) (V-ATPase 16 kDa proteolipid subunit 1) (Vacuolar proton pump c subunit)	VMA3 CLS7 CUP5 GEF2 YEL027W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	160
YEL032W	P24279	MCM3_YEAST	reviewed	DNA replication licensing factor MCM3 (EC 3.6.4.12) (Minichromosome maintenance protein 3)	MCM3 YEL032W SYGP-ORF23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	971
YEL034W	P23301	IF5A1_YEAST	reviewed	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (Hypusine-containing protein HP2) (eIF-4D)	HYP2 TIF51A YEL034W SYGP-ORF21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	157
YEL035C	P32630	UTR5_YEAST	reviewed	Protein UTR5 (Unknown transcript 5 protein)	UTR5 YEL035C SYGP-ORF27	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	166
YEL036C	P32629	ANP1_YEAST	reviewed	Mannan polymerase II complex ANP1 subunit (M-Pol II subunit ANP1) (Aminonitrophenyl propanediol resistance protein)	ANP1 GEM3 YEL036C SYGP-ORF28	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500
YEL045C	P32616	YEF5_YEAST	reviewed	Uncharacterized protein YEL045C	YEL045C SYGP-ORF33	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	141
YDR418W,YEL054C	P0CX53	RL12A_YEAST	reviewed	60S ribosomal protein L12-A (L15) (Large ribosomal subunit protein uL11-A) (YL23)	RPL12A RPL15B YEL054C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	165
YDR418W,YEL054C	P0CX54	RL12B_YEAST	reviewed	60S ribosomal protein L12-B (L15) (Large ribosomal subunit protein uL11-B) (YL23)	RPL12B RPL15A YDR418W D9461.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	165
YEL055C	P39985	DPO5_YEAST	reviewed	rDNA transcriptional regulator POL5 (EC 2.7.7.7) (DNA polymerase V) (POL V) (DNA polymerase phi)	POL5 YEL055C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1022
YEL064C	P39981	AVT2_YEAST	reviewed	Vacuolar amino acid transporter 2	AVT2 YEL064C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	480
YER005W	P40009	YND1_YEAST	reviewed	Golgi apyrase (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (Golgi nucleoside diphosphatase) (Yeast nucleoside diphosphatase 1)	YND1 YER005W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	630
YER009W	P33331	NTF2_YEAST	reviewed	Nuclear transport factor 2 (NTF-2) (Nuclear transport factor P10)	NTF2 YER009W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	125
YER016W	P40013	BIM1_YEAST	reviewed	Protein BIM1	BIM1 YER016W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	344
YER027C	Q04739	GAL83_YEAST	reviewed	SNF1 protein kinase subunit beta-3 (Glucose repression protein GAL83) (Protein SPM1)	GAL83 SPM1 YER027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	417
YER031C	P38555	YPT31_YEAST	reviewed	GTP-binding protein YPT31/YPT8 (Rab GTPase YPT31)	YPT31 YPT8 YER031C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	223
YER037W	P40025	PHM8_YEAST	reviewed	Phosphate metabolism protein 8	PHM8 YER037W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	321
YER048W-A	Q6Q560	ISD11_YEAST	reviewed	Protein ISD11 (Iron-sulfur protein biogenesis, desulfurase-interacting protein 11)	ISD11 YER048W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	94
YER049W	P40032	TPA1_YEAST	reviewed	Prolyl 3,4-dihydroxylase TPA1 (EC 1.14.11.-) (Termination and polyadenylation protein 1) (uS12 prolyl 3,4-dihydroxylase)	TPA1 YER049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	644
YER054C	P40036	GIP2_YEAST	reviewed	GLC7-interacting protein 2	GIP2 YER054C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	548
YER056C-A	P87262	RL34A_YEAST	reviewed	60S ribosomal protein L34-A (Large ribosomal subunit protein eL34-A)	RPL34A YER056C-A YER056BC	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	121
YER060W	P40039	FCY21_YEAST	reviewed	Purine-cytosine permease FCY21 (PCP FCY21) (Cytosine/purine transport protein FCY21) (Fluorocytosine resistance protein 21)	FCY21 FCYY YER060W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	528
YER063W	P40040	THO1_YEAST	reviewed	Protein THO1	THO1 YER063W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	218
YER064C	P40041	VHR2_YEAST	reviewed	Transcription factor VHR2 (VHT1 regulator 2)	VHR2 YER064C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	505
YER074W	P0CX31	RS24A_YEAST	reviewed	40S ribosomal protein S24-A (RP50) (Small ribosomal subunit protein eS24-A)	RPS24A RPS24EA YER074W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	135
YER074W	P0CX32	RS24B_YEAST	reviewed	40S ribosomal protein S24-B (RP50) (Small ribosomal subunit protein eS24-B)	RPS24B RPS24EB YIL069C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	135
YER096W	P39000	SHC1_YEAST	reviewed	Protein SHC1 (Sporulation-specific homolog of CSD4)	SHC1 YER096W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	512
YER105C	P40064	NU157_YEAST	reviewed	Nucleoporin NUP157 (Nuclear pore protein NUP157)	NUP157 YER105C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1391
YER106W	P40065	MAM1_YEAST	reviewed	Monopolin complex subunit MAM1 (Monopolar microtubule attachment during meiosis 1 protein 1)	MAM1 YER106W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	302
YER111C	P25302	SWI4_YEAST	reviewed	Regulatory protein SWI4 (Cell-cycle box factor subunit SWI4) (Protein ART1)	SWI4 ART1 YER111C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1093
YER117W	P0CX41	RL23A_YEAST	reviewed	60S ribosomal protein L23-A (L17a) (Large ribosomal subunit protein uL14-A) (YL32)	RPL23A RPL17A RPL17AA YBL087C YBL0713	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	137
YER117W	P0CX42	RL23B_YEAST	reviewed	60S ribosomal protein L23-B (L17a) (Large ribosomal subunit protein uL14-B) (YL32)	RPL23B RPL17AB RPL17B YER117W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	137
YER125W	P39940	RSP5_YEAST	reviewed	E3 ubiquitin-protein ligase RSP5 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase RSP5) (Reverses SPT-phenotype protein 5)	RSP5 MDP1 NPI1 YER125W SYGP-ORF41	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	809
YER126C	P40078	NSA2_YEAST	reviewed	Ribosome biogenesis protein NSA2 (NOP7-associated protein 2)	NSA2 YER126C SYGP-ORF47	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
YER131W	P39939	RS26B_YEAST	reviewed	40S ribosomal protein S26-B (Small ribosomal subunit protein eS26-B)	RPS26B YER131W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	119
YER132C	P32634	PMD1_YEAST	reviewed	Negative regulator of sporulation PMD1	PMD1 YER132C SYGP-ORF50	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1753
YER133W	P32598	PP12_YEAST	reviewed	Serine/threonine-protein phosphatase PP1-2 (EC 3.1.3.16)	GLC7 CID1 DIS2 YER133W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312
YER142C	P22134	MAG_YEAST	reviewed	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-methyladenine DNA glycosidase) (3MEA DNA glycosylase)	MAG1 MAG YER142C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	296
YER144C	P39944	UBP5_YEAST	reviewed	Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)	UBP5 YER144C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	805
YER151C	Q01477	UBP3_YEAST	reviewed	Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12) (Deubiquitinating enzyme 3) (Ubiquitin thioesterase 3) (Ubiquitin-specific-processing protease 3)	UBP3 YER151C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	912
YER154W	P39952	OXA1_YEAST	reviewed	Mitochondrial inner membrane protein OXA1 (Cytochrome oxidase biogenesis protein OXA1) (Oxidase assembly protein 1)	OXA1 PET1402 YER154W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	402
YER157W	P40094	COG3_YEAST	reviewed	Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3) (Protein SEC34)	COG3 GRD20 SEC34 YER157W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	801
YER161C	P06843	SPT2_YEAST	reviewed	Protein SPT2 (Negative regulator of Ty transcription)	SPT2 SIN1 SPM2 YER161C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333
YER165W	P04147	PABP_YEAST	reviewed	Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (ARS consensus-binding protein ACBP-67) (Polyadenylate tail-binding protein)	PAB1 YER165W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	577
YER174C	P32642	GLRX4_YEAST	reviewed	Monothiol glutaredoxin-4	GRX4 YER174C SYGP-ORF64	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244
YER187W	P40102	YE17_YEAST	reviewed	Uncharacterized protein YER187W	YER187W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	141
YFL005W	P07560	SEC4_YEAST	reviewed	Ras-related protein SEC4 (Suppressor of RHO3 protein 6)	SEC4 SRO6 YFL005W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215
YFL008W	P32908	SMC1_YEAST	reviewed	Structural maintenance of chromosomes protein 1 (DA-box protein SMC1)	SMC1 CHL10 YFL008W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1225
YFL011W	P43581	HXT10_YEAST	reviewed	Hexose transporter HXT10	HXT10 YFL011W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	546
YFL016C	P35191	MDJ1_YEAST	reviewed	DnaJ homolog 1, mitochondrial	MDJ1 YFL016C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511
YFL023W	P43573	BUD27_YEAST	reviewed	Bud site selection protein 27	BUD27 URI YFL023W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	796
YFL027C	P43570	GYP8_YEAST	reviewed	GTPase-activating protein GYP8	GYP8 YFL027C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	497
YFL031W	P41546	HAC1_YEAST	reviewed	Transcriptional activator HAC1	HAC1 ERN4 IRE15 IRE2 YFL031W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238
YFL034W	P43564	MIL1_YEAST	reviewed	Probable lipase MIL1 (EC 3.1.1.-) (Medium adaptin-interacting ligand 1)	MIL1 YFL034W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1073
YFL038C	P01123	YPT1_YEAST	reviewed	GTP-binding protein YPT1 (Protein YP2) (Rab GTPase YPT1) (Transport GTPase YPT1)	YPT1 YP2 YFL038C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206
YFL039C	P60010	ACT_YEAST	reviewed	Actin	ACT1 ABY1 END7 YFL039C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	375
YFL040W	P43562	YFE0_YEAST	reviewed	Probable metabolite transport protein YFL040W	YFL040W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	540
YFL049W	P43554	SWP82_YEAST	reviewed	SWI/SNF global transcription activator complex subunit SWP82	SWP82 YFL049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	623
YFR001W	P43586	LOC1_YEAST	reviewed	60S ribosomal subunit assembly/export protein LOC1 (Localization of ASH1 mRNA protein 1)	LOC1 YFR001W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	204
YFR002W	P34077	NIC96_YEAST	reviewed	Nucleoporin NIC96 (96 kDa nucleoporin-interacting component) (Nuclear pore protein NIC96)	NIC96 YFR002W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	839
YFR004W	P43588	RPN11_YEAST	reviewed	Ubiquitin carboxyl-terminal hydrolase RPN11 (EC 3.4.19.12) (26S proteasome regulatory subunit RPN11) (Protein MPR1)	RPN11 MPR1 YFR004W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	306
YFR013W	P43596	IOC3_YEAST	reviewed	ISWI one complex protein 3	IOC3 YFR013W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	787
YFR023W	P39684	PES4_YEAST	reviewed	Protein PES4 (DNA polymerase epsilon suppressor 4)	PES4 YFR023W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	611
YFR034C	P07270	PHO4_YEAST	reviewed	Phosphate system positive regulatory protein PHO4	PHO4 YFR034C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312
YFR039C	P43611	OSW7_YEAST	reviewed	Outer spore wall protein 7	OSW7 YFR039C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	510
YGL009C	P07264	LEUC_YEAST	reviewed	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	LEU1 YGL009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	779
YGL014W	P25339	PUF4_YEAST	reviewed	Pumilio homology domain family member 4	PUF4 YGL014W YGL023	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	888
YGL016W	P32767	KA122_YEAST	reviewed	Importin beta-like protein KAP122 (Karyopherin-122) (Pleiotropic drug resistance regulatory protein 6)	KAP122 PDR6 YGL016W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1081
YGL017W	P16639	ATE1_YEAST	reviewed	Arginyl-tRNA--protein transferase 1 (Arginyltransferase 1) (R-transferase 1) (EC 2.3.2.8) (Arginine-tRNA--protein transferase 1)	ATE1 YGL017W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	503
YGL023C	P53191	PIB2_YEAST	reviewed	Phosphatidylinositol 3-phosphate-binding protein 2	PIB2 YGL023C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	635
YGL030W	P14120	RL30_YEAST	reviewed	60S ribosomal protein L30 (L32) (Large ribosomal subunit protein eL30) (RP73) (YL38)	RPL30 RPL32 YGL030W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	105
YGL031C	P04449	RL24A_YEAST	reviewed	60S ribosomal protein L24-A (L30) (Large ribosomal subunit protein eL24-A) (RP29) (YL21)	RPL24A RP29 RPL30A YGL031C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	155
YGL035C	P27705	MIG1_YEAST	reviewed	Regulatory protein MIG1 (Regulatory protein CAT4)	MIG1 CAT4 SSN1 YGL035C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	504
YGL036W	P53185	YG036_YEAST	reviewed	Uncharacterized protein YGL036W	YGL036W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	909
YGL049C	P39936	IF4F2_YEAST	reviewed	Eukaryotic initiation factor 4F subunit p130 (eIF-4F p130) (eIF4F p130) (eIF4G2) (mRNA cap-binding protein complex subunit p130)	TIF4632 YGL049C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	914
YGL066W	P53165	SGF73_YEAST	reviewed	SAGA-associated factor 73 (73 kDa SAGA-associated factor) (SAGA histone acetyltransferase complex 73 kDa subunit)	SGF73 YGL066W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	657
YGL068W	P53163	MNP1_YEAST	reviewed	54S ribosomal protein L12, mitochondrial (Mitochondrial large ribosomal subunit protein bL12m) (Mitochondrial-nucleoid protein 1)	MNP1 MRPL12 YGL068W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	194
YGL073W	P10961	HSF_YEAST	reviewed	Heat shock transcription factor (HSTF) (Heat shock factor protein) (HSF)	HSF1 YGL073W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	833
YGL075C	P53159	MPS2_YEAST	reviewed	Monopolar spindle protein 2	MPS2 MMC1 YGL075C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	387
YGL077C	P19807	HNM1_YEAST	reviewed	Choline transport protein	HNM1 CTR CTR1 YGL077C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	563
YGL078C	P20447	DBP3_YEAST	reviewed	ATP-dependent RNA helicase DBP3 (EC 3.6.4.13) (DEAD box protein 3) (Helicase CA3)	DBP3 YGL078C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523
YGL080W	P53157	MPC1_YEAST	reviewed	Mitochondrial pyruvate carrier 1 (MPC1) (Protein FMP37)	MPC1 FMP37 YGL080W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	130
YGL092W	P49687	NU145_YEAST	reviewed	Nucleoporin NUP145 (EC 3.4.21.-) (Nuclear pore protein NUP145) [Cleaved into: Nucleoporin NUP145N (N-NUP145); Nucleoporin NUP145C (C-NUP145)]	NUP145 RAT10 YGL092W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1317
YGL094C	P53010	PAN2_YEAST	reviewed	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	PAN2 YGL094C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1115
YGL096W	P53147	TOS8_YEAST	reviewed	Homeobox protein TOS8 (Target of SBF 8)	TOS8 YGL096W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	276
YGL122C	P32505	NAB2_YEAST	reviewed	Nuclear polyadenylated RNA-binding protein NAB2	NAB2 YGL122C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	525
YGL123W	P25443	RS2_YEAST	reviewed	40S ribosomal protein S2 (Omnipotent suppressor protein SUP44) (RP12) (S4) (Small ribosomal subunit protein uS5) (YS5)	RPS2 RPS4 SUP38 SUP44 YGL123W G2893	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254
YGL139W	P53121	FLC3_YEAST	reviewed	Putative flavin carrier protein 3 (FAD transporter 3) (TRP-like ion channel FLC3)	FLC3 YGL139W G2812	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	802
YGL147C	P05738	RL9A_YEAST	reviewed	60S ribosomal protein L9-A (L8) (Large ribosomal subunit protein uL6-A) (RP24) (YL11)	RPL9A RPL8A RPL9 YGL147C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	191
YGL160W	P53109	AIM14_YEAST	reviewed	Probable metalloreductase AIM14 (EC 1.16.1.-) (Altered inheritance of mitochondria protein 14)	AIM14 YGL160W G1837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	570
YGL162W	P53032	SUT1_YEAST	reviewed	Sterol uptake protein 1	SUT1 YGL162W G1828	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	299
YGL166W	P15315	CUP2_YEAST	reviewed	Transcriptional activator protein CUP2 (Copper-fist transcription factor)	CUP2 ACE1 YGL166W G1810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	225
YGL180W	P53104	ATG1_YEAST	reviewed	Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy protein 3) (Autophagy-related protein 1) (Cytoplasm to vacuole targeting protein 10)	ATG1 APG1 AUT3 CVT10 YGL180W G1615	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	897
YGL186C	P53099	TPN1_YEAST	reviewed	Vitamin B6 transporter TPN1 (Transport of pyridoxine protein 1)	TPN1 YGL186C G1370	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	579
YGL189C	P39938	RS26A_YEAST	reviewed	40S ribosomal protein S26-A (Small ribosomal subunit protein eS26-A)	RPS26A RPS26 YGL189C G1355	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	119
YGL219C	P53083	MDM34_YEAST	reviewed	Mitochondrial distribution and morphology protein 34 (Mitochondrial outer membrane protein MMM2)	MDM34 MMM2 YGL219C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	459
YGL233W	P22224	SEC15_YEAST	reviewed	Exocyst complex component SEC15	SEC15 YGL233W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	910
YGL256W	P10127	ADH4_YEAST	reviewed	Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase IV) (ADHIV)	ADH4 ZRG5 YGL256W NRC465	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	382
YGR014W	P32334	MSB2_YEAST	reviewed	Signaling mucin MSB2 (Multicopy suppressor of bud emergence 2) (Osmosensor MSB2)	MSB2 YGR014W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1306
